model,temperature,qid,avg_similarity,std_similarity,min_similarity,stability_score,contradiction_rate,final_stability_score
meta-llama/llama-3.2-1b-instruct,0.1,Q11,0.42517966,0.20719445,0.1845027,0.21798521,0.0,0.2609291685
meta-llama/llama-3.1-8b-instruct,1.5,Q12,0.4128764,0.14335877,0.16991368,0.26951763,0.1333333333333333,0.2535380938333333
meta-llama/llama-3.3-70b-instruct,1.5,Q11,0.42309365,0.20872235,0.15118508,0.2143713,0.0,0.2527848535
meta-llama/llama-3.2-1b-instruct,1.5,Q13,0.44705337,0.21540533,0.13471153,0.23164804,0.2666666666666666,0.24953019516666666
google/gemma-2-27b-it,1.5,Q5,0.5183195,0.36305046,-0.045350704,0.15526903,0.0,0.2474639902
meta-llama/llama-3.1-8b-instruct,1.5,Q5,0.43776986,0.21927772,0.072301716,0.21849214,0.0,0.2442306012
meta-llama/llama-3.3-70b-instruct,2.0,Q13,0.41561574,0.19710563,0.07551811,0.2185101,0.0,0.23490722149999999
meta-llama/llama-3.1-8b-instruct,2.0,Q13,0.38791928,0.16603136,0.11486162,0.22188792,0.0,0.23081918799999995
meta-llama/llama-3.3-70b-instruct,2.0,Q7,0.4392319,0.1852308,0.02312225,0.25400108,0.2,0.23037897
meta-llama/llama-3.1-8b-instruct,0.5,Q11,0.46381718,0.26505688,-0.045086674,0.1987603,0.0,0.22951444119999997
google/gemma-2-27b-it,1.5,Q1,0.39481926,0.15467578,0.06170767,0.24014348,0.1333333333333333,0.21936505633333334
meta-llama/llama-3.2-1b-instruct,0.1,Q13,0.41453168,0.25000745,0.06295061,0.16452423,0.1333333333333333,0.21714134583333333
meta-llama/llama-3.1-8b-instruct,2.0,Q8,0.4049038,0.17589727,-0.04861731,0.22900653,0.0,0.2068342275
meta-llama/llama-3.3-70b-instruct,2.0,Q11,0.32982796,0.15266028,0.12760885,0.17716768,0.0,0.20051950399999996
google/gemma-2-27b-it,1.5,Q8,0.32120487,0.10902302,0.14441438,0.21218185,0.1333333333333333,0.19858567833333335
meta-llama/llama-3.3-70b-instruct,2.0,Q4,0.3664623,0.20274529,0.030367058,0.163717,0.2,0.1855389981
google/gemma-2-27b-it,1.5,Q7,0.39595923,0.29281998,0.020748362,0.10313925,0.2666666666666666,0.18446888006666665
google/gemma-2-27b-it,1.5,Q4,0.33649534,0.1606275,0.08977786,0.17586784,0.2666666666666666,0.18242531766666664
meta-llama/llama-3.3-70b-instruct,2.0,Q1,0.35053357,0.19635388,0.011591094,0.15417969,0.0666666666666666,0.1798519454666667
meta-llama/llama-3.1-8b-instruct,1.5,Q11,0.33749306,0.21481936,0.06805109,0.122673705,0.2,0.17388315000000001
meta-llama/llama-3.1-8b-instruct,1.5,Q10,0.43033326,0.35424507,-0.15711047,0.07608819,0.0,0.1736411015
google/gemma-2-27b-it,1.5,Q9,0.29409364,0.12185721,0.068422034,0.17223643,0.0,0.17186200929999998
meta-llama/llama-3.2-1b-instruct,0.5,Q12,0.41600218,0.3402517,-0.101610355,0.07575047,0.1333333333333333,0.17157481533333335
meta-llama/llama-3.1-8b-instruct,2.0,Q12,0.29176295,0.21032697,0.056108113,0.08143598,0.0,0.1547303471
meta-llama/llama-3.1-8b-instruct,2.0,Q3,0.35529116,0.27898893,-0.09170591,0.07630223,0.0,0.1529851745
meta-llama/llama-3.1-8b-instruct,2.0,Q9,0.31994778,0.2508228,0.0022130907,0.06912497,0.0666666666666666,0.15145453280666668
meta-llama/llama-3.3-70b-instruct,1.5,Q12,0.28809926,0.19647577,0.06688063,0.091623485,0.1333333333333333,0.15009764983333335
meta-llama/llama-3.1-8b-instruct,2.0,Q11,0.28076953,0.18160623,0.036081754,0.099163294,0.0666666666666666,0.14510380096666664
meta-llama/llama-3.2-1b-instruct,2.0,Q12,0.33776048,0.29479802,-0.03652523,0.04296246,0.1333333333333333,0.14446487233333333
google/gemma-2-27b-it,1.5,Q11,0.2595926,0.17048106,0.037560713,0.08911154,0.0,0.13769554359999997
meta-llama/llama-3.1-8b-instruct,1.0,Q12,0.25478202,0.19133538,0.030999454,0.06344664,0.0666666666666666,0.12703546246666667
meta-llama/llama-3.2-1b-instruct,0.1,Q12,0.3109789,0.2531797,-0.07869555,0.05779919,0.1333333333333333,0.12620460833333333
meta-llama/llama-3.1-8b-instruct,2.0,Q4,0.3104397,0.2832059,-0.024455924,0.02723381,0.2666666666666666,0.12555841686666666
google/gemma-2-27b-it,1.5,Q10,0.25592703,0.21989428,-0.0020917747,0.03603275,0.1333333333333333,0.11348705439333333
google/gemma-2-27b-it,1.5,Q13,0.28447512,0.23680618,-0.04208496,0.047668934,0.2666666666666666,0.11341381966666667
meta-llama/llama-3.2-1b-instruct,1.5,Q12,0.2819474,0.26943085,-0.1036973,0.012516558,0.1333333333333333,0.10134768583333333
meta-llama/llama-3.1-8b-instruct,2.0,Q7,0.25850478,0.22382608,-0.05358027,0.034678698,0.2,0.10081290199999998
meta-llama/llama-3.1-8b-instruct,2.0,Q1,0.27390558,0.28478995,-0.07741949,-0.010884374,0.1333333333333333,0.0994742908333333
meta-llama/llama-3.2-1b-instruct,1.0,Q12,0.26876023,0.26256442,-0.106775776,0.0061958134,0.1333333333333333,0.09384965313333332
